"customer_id","recency_days","frequency","monetary"
CUS000260,105,6,90248000.00
CUS000500,,0,0
CUS000024,99,6,63223500.00
CUS000571,88,2,19249000.00
CUS000919,96,5,75026000.00
CUS000439,102,7,122893500.00
CUS000494,90,6,91005500.00
CUS000633,163,3,34583500.00
CUS000390,106,5,69795500.00
CUS000589,95,9,99333000.00
CUS000338,91,8,94377000.00
CUS000257,125,5,55851000.00
CUS000087,94,4,84503500.00
CUS000131,96,7,77294500.00
CUS000973,145,4,39582500.00
CUS000361,119,2,36182000.00
CUS000781,118,4,52469500.00
CUS000196,87,6,93830000.00
CUS000911,150,4,31347500.00
CUS000610,94,3,25160500.00
CUS000416,88,6,64730500.00
CUS000097,109,1,3020000.00
CUS000463,97,6,64166000.00
CUS000290,145,8,127746500.00
CUS000808,98,5,67578000.00
CUS000334,136,5,59220000.00
CUS000414,113,5,55745000.00
CUS000124,104,6,37581000.00
CUS000798,137,5,52210500.00
CUS000600,97,5,50977500.00
CUS000398,94,8,80895500.00
CUS000125,100,4,68185500.00
CUS000329,97,7,76719500.00
CUS000884,146,3,10533000.00
CUS000229,160,5,76387000.00
CUS000245,112,5,62641000.00
CUS000442,191,3,26694000.00
CUS000570,138,8,83606500.00
CUS000249,102,4,70517500.00
CUS000607,147,3,57918000.00
CUS000493,94,4,39527000.00
CUS000923,167,2,22443000.00
CUS000620,121,9,96949500.00
CUS000662,108,5,82527500.00
CUS000786,97,13,145209500.00
CUS000477,175,3,28529500.00
CUS000078,118,5,45586000.00
CUS000147,152,4,53649500.00
CUS000695,159,7,58746000.00
CUS000680,104,3,18475500.00
CUS000542,111,8,112378500.00
CUS000901,135,4,69553000.00
CUS000952,98,4,28994500.00
CUS000613,151,6,76840000.00
CUS000796,125,8,110051000.00
CUS000931,89,6,78582500.00
CUS000597,113,5,44996000.00
CUS000615,154,6,59557500.00
CUS000292,106,9,78547500.00
CUS000679,137,3,15341000.00
CUS000732,253,2,36948000.00
CUS000747,164,3,30022000.00
CUS000483,98,4,45242500.00
CUS000044,190,3,54668000.00
CUS000724,100,4,37781000.00
CUS000841,193,5,43051000.00
CUS000924,172,3,39260500.00
CUS000103,136,2,24411500.00
CUS000142,128,6,55260000.00
CUS000752,107,5,62905500.00
CUS000823,124,3,21641000.00
CUS000545,87,9,155738000.00
CUS000445,99,4,66355000.00
CUS000966,90,9,118361500.00
CUS000535,175,4,60677500.00
CUS000406,201,3,18333000.00
CUS000283,162,2,30242500.00
CUS000458,125,3,34322500.00
CUS000424,120,5,38468000.00
CUS000949,186,2,14234000.00
CUS000504,202,2,22669500.00
CUS000912,104,4,36442500.00
CUS000590,164,7,55068000.00
CUS000448,125,2,22485000.00
CUS000020,131,3,40351000.00
CUS000573,87,5,57024500.00
CUS000391,176,4,52280500.00
CUS000566,124,6,76216500.00
CUS000092,94,12,152617000.00
CUS000959,87,7,108163500.00
CUS000041,91,9,72029500.00
CUS000430,145,3,27799000.00
CUS000003,144,4,53685000.00
CUS000939,117,7,80594500.00
CUS000714,132,5,74693500.00
CUS000179,167,3,48842500.00
CUS000895,105,5,65253500.00
CUS000972,123,7,72282000.00
CUS000485,95,6,56386500.00
CUS000299,127,5,68310500.00
CUS000741,102,3,26180000.00
CUS000423,114,2,15431500.00
CUS000382,113,2,31276500.00
CUS000258,179,3,23253500.00
CUS000161,161,6,60519000.00
CUS000601,173,5,67439000.00
CUS000717,133,3,22118000.00
CUS000657,108,5,44322500.00
CUS000936,99,8,115508000.00
CUS000347,120,2,34475000.00
CUS000297,98,4,88828000.00
CUS000810,162,7,80881000.00
CUS000345,116,2,56787000.00
CUS000739,90,5,71099000.00
CUS001000,109,4,60963000.00
CUS000699,99,9,151378500.00
CUS000812,116,2,43472500.00
CUS000203,104,10,114049000.00
CUS000897,108,3,45828000.00
CUS000422,106,10,114106500.00
CUS000128,140,3,38239000.00
CUS000067,122,6,75359500.00
CUS000094,91,8,148882000.00
CUS000568,91,8,150558500.00
CUS000748,107,5,37697500.00
CUS000761,111,4,40808000.00
CUS000066,131,5,63410000.00
CUS000898,111,8,124171500.00
CUS000198,108,5,66469500.00
CUS000100,102,3,10442500.00
CUS000788,92,2,6969500.00
CUS000827,123,4,52043500.00
CUS000370,112,3,50270000.00
CUS000815,109,3,28584500.00
CUS000135,94,5,88563000.00
CUS000457,244,1,1170000.00
CUS000531,110,11,108437000.00
CUS000902,122,7,123497000.00
CUS000033,89,5,45262500.00
CUS000306,200,4,32502000.00
CUS000123,92,6,77481000.00
CUS000797,96,6,75423000.00
CUS000012,87,9,108181500.00
CUS000956,99,4,77945500.00
CUS000636,144,5,57410500.00
CUS000868,144,6,62534500.00
