"month","revenue"
2026-04-01 00:00:00.000 +0700,7801828500.00
2026-03-01 00:00:00.000 +0700,8998721500.00
2026-06-01 00:00:00.000 +0700,7756301000.00
2026-05-01 00:00:00.000 +0700,8230727000.00
2026-02-01 00:00:00.000 +0700,7058655000.00
2026-01-01 00:00:00.000 +0700,8231711000.00
"customer_id","aov"
CUS000260,16850600.00
CUS000024,10537250.00
CUS000571,6917000.00
CUS000919,9282666.67
CUS000439,17472700.00
CUS000494,16232300.00
CUS000633,11527833.33
CUS000589,10858357.14
CUS000390,13938875.00
CUS000338,12224000.00
CUS000257,10416333.33
CUS000131,10181750.00
CUS000087,26672833.33
CUS000973,9895625.00
CUS000361,18091000.00
CUS000781,14808000.00
CUS000196,16190600.00
CUS000911,7365166.67
CUS000610,9929750.00
CUS000416,10788416.67
CUS000463,10694333.33
CUS000290,16890928.57
CUS000808,15716500.00
CUS000334,11844000.00
CUS000414,13594250.00
CUS000124,7026600.00
CUS000798,10442100.00
CUS000600,11920250.00
CUS000398,9784800.00
CUS000125,18608000.00
CUS000329,14360800.00
CUS000884,552500.00
CUS000229,15277400.00
CUS000245,13917250.00
CUS000442,8898000.00
CUS000570,13593375.00
CUS000249,5271750.00
CUS000607,19306000.00
CUS000493,7654500.00
CUS000923,11221500.00
CUS000620,10757416.67
CUS000662,16157000.00
CUS000786,10634166.67
CUS000477,9509833.33
CUS000078,8459166.67
CUS000147,13412375.00
CUS000695,9495500.00
CUS000680,5004500.00
CUS000542,17728166.67
CUS000901,14180000.00
CUS000952,7038333.33
CUS000613,10344333.33
CUS000796,13756375.00
CUS000931,13635700.00
CUS000597,10692250.00
CUS000615,8215500.00
CUS000292,8848375.00
CUS000679,3680000.00
CUS000732,18474000.00
CUS000747,10007333.33
CUS000483,11310625.00
CUS000044,24554000.00
CUS000724,9445250.00
CUS000841,7519625.00
CUS000924,16614000.00
CUS000103,12205750.00
CUS000142,12021000.00
CUS000752,14933125.00
CUS000823,7213666.67
CUS000545,17624857.14
CUS000445,18448666.67
CUS000966,12945833.33
CUS000535,19063750.00
CUS000406,8596500.00
CUS000283,15121250.00
CUS000458,11440833.33
CUS000424,8784000.00
CUS000949,7117000.00
CUS000504,10633000.00
CUS000912,8407500.00
CUS000590,7866857.14
CUS000448,13325000.00
CUS000020,13641750.00
CUS000573,9028500.00
CUS000391,13070125.00
CUS000566,8855125.00
CUS000092,14316083.33
CUS000959,13485900.00
CUS000041,8408750.00
CUS000430,9266333.33
CUS000003,12350500.00
